Type_Event,Region,Year,Aggregator,Disaggregator,Substance,Source,Specific_Measure,PRUID,Time_Period,Unit,Value
Accidental apparent opioid toxicity deaths,Alberta,2019,40 to 49 years,Male,Opioids,Deaths,Age group by sex,48,By year,Number,100.0
Accidental apparent opioid toxicity deaths,Alberta,2019,50 to 59 years,Female,Opioids,Deaths,Age group by sex,48,By year,Number,33.0
Accidental apparent opioid toxicity deaths,Alberta,2019,50 to 59 years,Male,Opioids,Deaths,Age group by sex,48,By year,Number,79.0
Accidental apparent opioid toxicity deaths,Alberta,2019,60 years or more,Female,Opioids,Deaths,Age group by sex,48,By year,Number,10.0
Accidental apparent opioid toxicity deaths,Alberta,2019,60 years or more,Male,Opioids,Deaths,Age group by sex,48,By year,Number,24.0
Accidental apparent opioid toxicity deaths,Alberta,2020,0 to 19 years,Female,Opioids,Deaths,Age group by sex,48,By year,Number,7.0
Accidental apparent opioid toxicity deaths,Alberta,2020,0 to 19 years,Male,Opioids,Deaths,Age group by sex,48,By year,Number,17.0
Accidental apparent opioid toxicity deaths,Alberta,2020,20 to 29 years,Female,Opioids,Deaths,Age group by sex,48,By year,Number,58.0
Accidental apparent opioid toxicity deaths,Alberta,2020,20 to 29 years,Male,Opioids,Deaths,Age group by sex,48,By year,Number,172.0
Accidental apparent opioid toxicity deaths,Alberta,2020,30 to 39 years,Female,Opioids,Deaths,Age group by sex,48,By year,Number,69.0
Accidental apparent opioid toxicity deaths,Alberta,2020,30 to 39 years,Male,Opioids,Deaths,Age group by sex,48,By year,Number,262.0
Accidental apparent opioid toxicity deaths,Alberta,2020,40 to 49 years,Female,Opioids,Deaths,Age group by sex,48,By year,Number,72.0
Accidental apparent opioid toxicity deaths,Alberta,2020,40 to 49 years,Male,Opioids,Deaths,Age group by sex,48,By year,Number,203.0
Accidental apparent opioid toxicity deaths,Alberta,2020,50 to 59 years,Female,Opioids,Deaths,Age group by sex,48,By year,Number,54.0
Accidental apparent opioid toxicity deaths,Alberta,2020,50 to 59 years,Male,Opioids,Deaths,Age group by sex,48,By year,Number,172.0
Accidental apparent opioid toxicity deaths,Alberta,2020,60 years or more,Female,Opioids,Deaths,Age group by sex,48,By year,Number,13.0
Accidental apparent opioid toxicity deaths,Alberta,2020,60 years or more,Male,Opioids,Deaths,Age group by sex,48,By year,Number,73.0
Accidental apparent opioid toxicity deaths,Alberta,2021,0 to 19 years,Female,Opioids,Deaths,Age group by sex,48,By year,Number,10.0
Accidental apparent opioid toxicity deaths,Alberta,2021,0 to 19 years,Male,Opioids,Deaths,Age group by sex,48,By year,Number,21.0
Accidental apparent opioid toxicity deaths,Alberta,2021,20 to 29 years,Female,Opioids,Deaths,Age group by sex,48,By year,Number,100.0
Accidental apparent opioid toxicity deaths,Alberta,2021,20 to 29 years,Male,Opioids,Deaths,Age group by sex,48,By year,Number,212.0
Accidental apparent opioid toxicity deaths,Alberta,2021,30 to 39 years,Female,Opioids,Deaths,Age group by sex,48,By year,Number,160.0
Accidental apparent opioid toxicity deaths,Alberta,2021,30 to 39 years,Male,Opioids,Deaths,Age group by sex,48,By year,Number,364.0
Accidental apparent opioid toxicity deaths,Alberta,2021,40 to 49 years,Female,Opioids,Deaths,Age group by sex,48,By year,Number,87.0
Accidental apparent opioid toxicity deaths,Alberta,2021,40 to 49 years,Male,Opioids,Deaths,Age group by sex,48,By year,Number,274.0
Accidental apparent opioid toxicity deaths,Alberta,2021,50 to 59 years,Female,Opioids,Deaths,Age group by sex,48,By year,Number,56.0
Accidental apparent opioid toxicity deaths,Alberta,2021,50 to 59 years,Male,Opioids,Deaths,Age group by sex,48,By year,Number,228.0
Accidental apparent opioid toxicity deaths,Alberta,2021,60 years or more,Female,Opioids,Deaths,Age group by sex,48,By year,Number,24.0
Accidental apparent opioid toxicity deaths,Alberta,2021,60 years or more,Male,Opioids,Deaths,Age group by sex,48,By year,Number,92.0
Accidental apparent opioid toxicity deaths,Alberta,2022,0 to 19 years,Female,Opioids,Deaths,Age group by sex,48,By year,Number,20.0
Accidental apparent opioid toxicity deaths,Alberta,2022,0 to 19 years,Male,Opioids,Deaths,Age group by sex,48,By year,Number,14.0
Accidental apparent opioid toxicity deaths,Alberta,2022,20 to 29 years,Female,Opioids,Deaths,Age group by sex,48,By year,Number,93.0
Accidental apparent opioid toxicity deaths,Alberta,2022,20 to 29 years,Male,Opioids,Deaths,Age group by sex,48,By year,Number,178.0
Accidental apparent opioid toxicity deaths,Alberta,2022,30 to 39 years,Female,Opioids,Deaths,Age group by sex,48,By year,Number,119.0
Accidental apparent opioid toxicity deaths,Alberta,2022,30 to 39 years,Male,Opioids,Deaths,Age group by sex,48,By year,Number,354.0
Accidental apparent opioid toxicity deaths,Alberta,2022,40 to 49 years,Female,Opioids,Deaths,Age group by sex,48,By year,Number,90.0
Accidental apparent opioid toxicity deaths,Alberta,2022,40 to 49 years,Male,Opioids,Deaths,Age group by sex,48,By year,Number,282.0
Accidental apparent opioid toxicity deaths,Alberta,2022,50 to 59 years,Female,Opioids,Deaths,Age group by sex,48,By year,Number,71.0
Accidental apparent opioid toxicity deaths,Alberta,2022,50 to 59 years,Male,Opioids,Deaths,Age group by sex,48,By year,Number,165.0
Accidental apparent opioid toxicity deaths,Alberta,2022,60 years or more,Female,Opioids,Deaths,Age group by sex,48,By year,Number,21.0
Accidental apparent opioid toxicity deaths,Alberta,2022,60 years or more,Male,Opioids,Deaths,Age group by sex,48,By year,Number,104.0
Accidental apparent opioid toxicity deaths,Alberta,2023,0 to 19 years,Female,Opioids,Deaths,Age group by sex,48,By year,Number,24.0
Accidental apparent opioid toxicity deaths,Alberta,2023,0 to 19 years,Male,Opioids,Deaths,Age group by sex,48,By year,Number,24.0
Accidental apparent opioid toxicity deaths,Alberta,2023,20 to 29 years,Female,Opioids,Deaths,Age group by sex,48,By year,Number,149.0
Accidental apparent opioid toxicity deaths,Alberta,2023,20 to 29 years,Male,Opioids,Deaths,Age group by sex,48,By year,Number,196.0
Accidental apparent opioid toxicity deaths,Alberta,2023,30 to 39 years,Female,Opioids,Deaths,Age group by sex,48,By year,Number,196.0
Accidental apparent opioid toxicity deaths,Alberta,2023,30 to 39 years,Male,Opioids,Deaths,Age group by sex,48,By year,Number,420.0
Accidental apparent opioid toxicity deaths,Alberta,2023,40 to 49 years,Female,Opioids,Deaths,Age group by sex,48,By year,Number,117.0
Accidental apparent opioid toxicity deaths,Alberta,2023,40 to 49 years,Male,Opioids,Deaths,Age group by sex,48,By year,Number,324.0
Accidental apparent opioid toxicity deaths,Alberta,2023,50 to 59 years,Female,Opioids,Deaths,Age group by sex,48,By year,Number,78.0
Accidental apparent opioid toxicity deaths,Alberta,2023,50 to 59 years,Male,Opioids,Deaths,Age group by sex,48,By year,Number,214.0
Accidental apparent opioid toxicity deaths,Alberta,2023,60 years or more,Female,Opioids,Deaths,Age group by sex,48,By year,Number,16.0
Accidental apparent opioid toxicity deaths,Alberta,2023,60 years or more,Male,Opioids,Deaths,Age group by sex,48,By year,Number,95.0
Accidental apparent opioid toxicity deaths,Alberta,2024,0 to 19 years,Female,Opioids,Deaths,Age group by sex,48,By year,Number,6.0
Accidental apparent opioid toxicity deaths,Alberta,2024,0 to 19 years,Male,Opioids,Deaths,Age group by sex,48,By year,Number,5.0
Accidental apparent opioid toxicity deaths,Alberta,2024,20 to 29 years,Female,Opioids,Deaths,Age group by sex,48,By year,Number,48.0
Accidental apparent opioid toxicity deaths,Alberta,2024,20 to 29 years,Male,Opioids,Deaths,Age group by sex,48,By year,Number,79.0
Accidental apparent opioid toxicity deaths,Alberta,2024,30 to 39 years,Female,Opioids,Deaths,Age group by sex,48,By year,Number,55.0
Accidental apparent opioid toxicity deaths,Alberta,2024,30 to 39 years,Male,Opioids,Deaths,Age group by sex,48,By year,Number,139.0
Accidental apparent opioid toxicity deaths,Alberta,2024,40 to 49 years,Female,Opioids,Deaths,Age group by sex,48,By year,Number,39.0
Accidental apparent opioid toxicity deaths,Alberta,2024,40 to 49 years,Male,Opioids,Deaths,Age group by sex,48,By year,Number,112.0
Accidental apparent opioid toxicity deaths,Alberta,2024,50 to 59 years,Female,Opioids,Deaths,Age group by sex,48,By year,Number,20.0
Accidental apparent opioid toxicity deaths,Alberta,2024,50 to 59 years,Male,Opioids,Deaths,Age group by sex,48,By year,Number,64.0
Accidental apparent opioid toxicity deaths,Alberta,2024,60 years or more,Female,Opioids,Deaths,Age group by sex,48,By year,Number,4.0
Accidental apparent opioid toxicity deaths,Alberta,2024,60 years or more,Male,Opioids,Deaths,Age group by sex,48,By year,Number,47.0
Accidental apparent opioid toxicity deaths,British Columbia,2018,0 to 19 years,Female,Opioids,Deaths,Age group by sex,59,By year,Number,4.0
Accidental apparent opioid toxicity deaths,British Columbia,2018,0 to 19 years,Male,Opioids,Deaths,Age group by sex,59,By year,Number,20.0
Accidental apparent opioid toxicity deaths,British Columbia,2018,20 to 29 years,Female,Opioids,Deaths,Age group by sex,59,By year,Number,59.0
Accidental apparent opioid toxicity deaths,British Columbia,2018,20 to 29 years,Male,Opioids,Deaths,Age group by sex,59,By year,Number,203.0
Accidental apparent opioid toxicity deaths,British Columbia,2018,30 to 39 years,Female,Opioids,Deaths,Age group by sex,59,By year,Number,76.0
Accidental apparent opioid toxicity deaths,British Columbia,2018,30 to 39 years,Male,Opioids,Deaths,Age group by sex,59,By year,Number,286.0
Accidental apparent opioid toxicity deaths,British Columbia,2018,40 to 49 years,Female,Opioids,Deaths,Age group by sex,59,By year,Number,53.0
Accidental apparent opioid toxicity deaths,British Columbia,2018,40 to 49 years,Male,Opioids,Deaths,Age group by sex,59,By year,Number,245.0
Accidental apparent opioid toxicity deaths,British Columbia,2018,50 to 59 years,Female,Opioids,Deaths,Age group by sex,59,By year,Number,54.0
Accidental apparent opioid toxicity deaths,British Columbia,2018,50 to 59 years,Male,Opioids,Deaths,Age group by sex,59,By year,Number,251.0
Accidental apparent opioid toxicity deaths,British Columbia,2018,60 years or more,Female,Opioids,Deaths,Age group by sex,59,By year,Number,23.0
Accidental apparent opioid toxicity deaths,British Columbia,2018,60 years or more,Male,Opioids,Deaths,Age group by sex,59,By year,Number,91.0
Accidental apparent opioid toxicity deaths,British Columbia,2019,0 to 19 years,Female,Opioids,Deaths,Age group by sex,59,By year,Number,9.0
Accidental apparent opioid toxicity deaths,British Columbia,2019,0 to 19 years,Male,Opioids,Deaths,Age group by sex,59,By year,Number,6.0
Accidental apparent opioid toxicity deaths,British Columbia,2019,20 to 29 years,Female,Opioids,Deaths,Age group by sex,59,By year,Number,26.0
Accidental apparent opioid toxicity deaths,British Columbia,2019,20 to 29 years,Male,Opioids,Deaths,Age group by sex,59,By year,Number,91.0
Accidental apparent opioid toxicity deaths,British Columbia,2019,30 to 39 years,Female,Opioids,Deaths,Age group by sex,59,By year,Number,47.0
Accidental apparent opioid toxicity deaths,British Columbia,2019,30 to 39 years,Male,Opioids,Deaths,Age group by sex,59,By year,Number,146.0
Accidental apparent opioid toxicity deaths,British Columbia,2019,40 to 49 years,Female,Opioids,Deaths,Age group by sex,59,By year,Number,32.0
Accidental apparent opioid toxicity deaths,British Columbia,2019,40 to 49 years,Male,Opioids,Deaths,Age group by sex,59,By year,Number,114.0
Accidental apparent opioid toxicity deaths,British Columbia,2019,50 to 59 years,Female,Opioids,Deaths,Age group by sex,59,By year,Number,34.0
Accidental apparent opioid toxicity deaths,British Columbia,2019,50 to 59 years,Male,Opioids,Deaths,Age group by sex,59,By year,Number,100.0
Accidental apparent opioid toxicity deaths,British Columbia,2019,60 years or more,Female,Opioids,Deaths,Age group by sex,59,By year,Number,10.0
Accidental apparent opioid toxicity deaths,British Columbia,2019,60 years or more,Male,Opioids,Deaths,Age group by sex,59,By year,Number,49.0
Accidental apparent opioid toxicity deaths,British Columbia,2020,0 to 19 years,Female,Opioids,Deaths,Age group by sex,59,By year,Number,8.0
Accidental apparent opioid toxicity deaths,British Columbia,2020,0 to 19 years,Male,Opioids,Deaths,Age group by sex,59,By year,Number,15.0
Accidental apparent opioid toxicity deaths,British Columbia,2020,20 to 29 years,Female,Opioids,Deaths,Age group by sex,59,By year,Number,44.0
Accidental apparent opioid toxicity deaths,British Columbia,2020,20 to 29 years,Male,Opioids,Deaths,Age group by sex,59,By year,Number,192.0
Accidental apparent opioid toxicity deaths,British Columbia,2020,30 to 39 years,Female,Opioids,Deaths,Age group by sex,59,By year,Number,63.0
Accidental apparent opioid toxicity deaths,British Columbia,2020,30 to 39 years,Male,Opioids,Deaths,Age group by sex,59,By year,Number,262.0
Accidental apparent opioid toxicity deaths,British Columbia,2020,40 to 49 years,Female,Opioids,Deaths,Age group by sex,59,By year,Number,54.0
Accidental apparent opioid toxicity deaths,British Columbia,2020,40 to 49 years,Male,Opioids,Deaths,Age group by sex,59,By year,Number,264.0
Accidental apparent opioid toxicity deaths,British Columbia,2020,50 to 59 years,Female,Opioids,Deaths,Age group by sex,59,By year,Number,56.0
Accidental apparent opioid toxicity deaths,British Columbia,2020,50 to 59 years,Male,Opioids,Deaths,Age group by sex,59,By year,Number,274.0
Accidental apparent opioid toxicity deaths,British Columbia,2020,60 years or more,Female,Opioids,Deaths,Age group by sex,59,By year,Number,26.0
Accidental apparent opioid toxicity deaths,British Columbia,2020,60 years or more,Male,Opioids,Deaths,Age group by sex,59,By year,Number,117.0
Accidental apparent opioid toxicity deaths,British Columbia,2021,0 to 19 years,Female,Opioids,Deaths,Age group by sex,59,By year,Number,9.0
Accidental apparent opioid toxicity deaths,British Columbia,2021,0 to 19 years,Male,Opioids,Deaths,Age group by sex,59,By year,Number,8.0
Accidental apparent opioid toxicity deaths,British Columbia,2021,20 to 29 years,Female,Opioids,Deaths,Age group by sex,59,By year,Number,62.0
Accidental apparent opioid toxicity deaths,British Columbia,2021,20 to 29 years,Male,Opioids,Deaths,Age group by sex,59,By year,Number,171.0
Accidental apparent opioid toxicity deaths,British Columbia,2021,30 to 39 years,Female,Opioids,Deaths,Age group by sex,59,By year,Number,91.0
Accidental apparent opioid toxicity deaths,British Columbia,2021,30 to 39 years,Male,Opioids,Deaths,Age group by sex,59,By year,Number,323.0
Accidental apparent opioid toxicity deaths,British Columbia,2021,40 to 49 years,Female,Opioids,Deaths,Age group by sex,59,By year,Number,72.0
Accidental apparent opioid toxicity deaths,British Columbia,2021,40 to 49 years,Male,Opioids,Deaths,Age group by sex,59,By year,Number,280.0
Accidental apparent opioid toxicity deaths,British Columbia,2021,50 to 59 years,Female,Opioids,Deaths,Age group by sex,59,By year,Number,99.0
Accidental apparent opioid toxicity deaths,British Columbia,2021,50 to 59 years,Male,Opioids,Deaths,Age group by sex,59,By year,Number,329.0
Accidental apparent opioid toxicity deaths,British Columbia,2021,60 years or more,Female,Opioids,Deaths,Age group by sex,59,By year,Number,25.0
Accidental apparent opioid toxicity deaths,British Columbia,2021,60 years or more,Male,Opioids,Deaths,Age group by sex,59,By year,Number,188.0
Accidental apparent opioid toxicity deaths,British Columbia,2022,0 to 19 years,Female,Opioids,Deaths,Age group by sex,59,By year,Number,10.0
Accidental apparent opioid toxicity deaths,British Columbia,2022,0 to 19 years,Male,Opioids,Deaths,Age group by sex,59,By year,Number,15.0
Accidental apparent opioid toxicity deaths,British Columbia,2022,20 to 29 years,Female,Opioids,Deaths,Age group by sex,59,By year,Number,77.0
Accidental apparent opioid toxicity deaths,British Columbia,2022,20 to 29 years,Male,Opioids,Deaths,Age group by sex,59,By year,Number,187.0
Accidental apparent opioid toxicity deaths,British Columbia,2022,30 to 39 years,Female,Opioids,Deaths,Age group by sex,59,By year,Number,103.0
Accidental apparent opioid toxicity deaths,British Columbia,2022,30 to 39 years,Male,Opioids,Deaths,Age group by sex,59,By year,Number,338.0
Accidental apparent opioid toxicity deaths,British Columbia,2022,40 to 49 years,Female,Opioids,Deaths,Age group by sex,59,By year,Number,85.0
Accidental apparent opioid toxicity deaths,British Columbia,2022,40 to 49 years,Male,Opioids,Deaths,Age group by sex,59,By year,Number,326.0
Accidental apparent opioid toxicity deaths,British Columbia,2022,50 to 59 years,Female,Opioids,Deaths,Age group by sex,59,By year,Number,76.0
Accidental apparent opioid toxicity deaths,British Columbia,2022,50 to 59 years,Male,Opioids,Deaths,Age group by sex,59,By year,Number,364.0
Accidental apparent opioid toxicity deaths,British Columbia,2022,60 years or more,Female,Opioids,Deaths,Age group by sex,59,By year,Number,43.0
Accidental apparent opioid toxicity deaths,British Columbia,2022,60 years or more,Male,Opioids,Deaths,Age group by sex,59,By year,Number,215.0
Accidental apparent opioid toxicity deaths,British Columbia,2023,0 to 19 years,Female,Opioids,Deaths,Age group by sex,59,By year,Number,12.0
Accidental apparent opioid toxicity deaths,British Columbia,2023,0 to 19 years,Male,Opioids,Deaths,Age group by sex,59,By year,Number,12.0
Accidental apparent opioid toxicity deaths,British Columbia,2023,20 to 29 years,Female,Opioids,Deaths,Age group by sex,59,By year,Number,80.0
Accidental apparent opioid toxicity deaths,British Columbia,2023,20 to 29 years,Male,Opioids,Deaths,Age group by sex,59,By year,Number,176.0
Accidental apparent opioid toxicity deaths,British Columbia,2023,30 to 39 years,Female,Opioids,Deaths,Age group by sex,59,By year,Number,125.0
Accidental apparent opioid toxicity deaths,British Columbia,2023,30 to 39 years,Male,Opioids,Deaths,Age group by sex,59,By year,Number,379.0
Accidental apparent opioid toxicity deaths,British Columbia,2023,40 to 49 years,Female,Opioids,Deaths,Age group by sex,59,By year,Number,95.0
Accidental apparent opioid toxicity deaths,British Columbia,2023,40 to 49 years,Male,Opioids,Deaths,Age group by sex,59,By year,Number,358.0
Accidental apparent opioid toxicity deaths,British Columbia,2023,50 to 59 years,Female,Opioids,Deaths,Age group by sex,59,By year,Number,78.0
Accidental apparent opioid toxicity deaths,British Columbia,2023,50 to 59 years,Male,Opioids,Deaths,Age group by sex,59,By year,Number,374.0
Accidental apparent opioid toxicity deaths,British Columbia,2023,60 years or more,Female,Opioids,Deaths,Age group by sex,59,By year,Number,48.0
Accidental apparent opioid toxicity deaths,British Columbia,2023,60 years or more,Male,Opioids,Deaths,Age group by sex,59,By year,Number,239.0
Accidental apparent opioid toxicity deaths,British Columbia,2024,0 to 19 years,Female,Opioids,Deaths,Age group by sex,59,By year,Number,0.0
Accidental apparent opioid toxicity deaths,British Columbia,2024,0 to 19 years,Male,Opioids,Deaths,Age group by sex,59,By year,Number,3.0
Accidental apparent opioid toxicity deaths,British Columbia,2024,20 to 29 years,Female,Opioids,Deaths,Age group by sex,59,By year,Number,23.0
Accidental apparent opioid toxicity deaths,British Columbia,2024,20 to 29 years,Male,Opioids,Deaths,Age group by sex,59,By year,Number,20.0
Accidental apparent opioid toxicity deaths,British Columbia,2024,30 to 39 years,Female,Opioids,Deaths,Age group by sex,59,By year,Number,26.0
Accidental apparent opioid toxicity deaths,British Columbia,2024,30 to 39 years,Male,Opioids,Deaths,Age group by sex,59,By year,Number,61.0
Accidental apparent opioid toxicity deaths,British Columbia,2024,40 to 49 years,Female,Opioids,Deaths,Age group by sex,59,By year,Number,13.0
Accidental apparent opioid toxicity deaths,British Columbia,2024,40 to 49 years,Male,Opioids,Deaths,Age group by sex,59,By year,Number,72.0
Accidental apparent opioid toxicity deaths,British Columbia,2024,50 to 59 years,Female,Opioids,Deaths,Age group by sex,59,By year,Number,18.0
Accidental apparent opioid toxicity deaths,British Columbia,2024,50 to 59 years,Male,Opioids,Deaths,Age group by sex,59,By year,Number,52.0
Accidental apparent opioid toxicity deaths,British Columbia,2024,60 years or more,Female,Opioids,Deaths,Age group by sex,59,By year,Number,14.0
Accidental apparent opioid toxicity deaths,British Columbia,2024,60 years or more,Male,Opioids,Deaths,Age group by sex,59,By year,Number,38.0
Accidental apparent opioid toxicity deaths,Canada,2018,0 to 19 years,Female,Opioids,Deaths,Age group by sex,1,By year,Number,20.0
Accidental apparent opioid toxicity deaths,Canada,2018,0 to 19 years,Male,Opioids,Deaths,Age group by sex,1,By year,Number,41.0
Accidental apparent opioid toxicity deaths,Canada,2018,20 to 29 years,Female,Opioids,Deaths,Age group by sex,1,By year,Number,207.0
Accidental apparent opioid toxicity deaths,Canada,2018,20 to 29 years,Male,Opioids,Deaths,Age group by sex,1,By year,Number,575.0
Accidental apparent opioid toxicity deaths,Canada,2018,30 to 39 years,Female,Opioids,Deaths,Age group by sex,1,By year,Number,266.0
Accidental apparent opioid toxicity deaths,Canada,2018,30 to 39 years,Male,Opioids,Deaths,Age group by sex,1,By year,Number,804.0
Accidental apparent opioid toxicity deaths,Canada,2018,40 to 49 years,Female,Opioids,Deaths,Age group by sex,1,By year,Number,200.0
Accidental apparent opioid toxicity deaths,Canada,2018,40 to 49 years,Male,Opioids,Deaths,Age group by sex,1,By year,Number,620.0
Accidental apparent opioid toxicity deaths,Canada,2018,50 to 59 years,Female,Opioids,Deaths,Age group by sex,1,By year,Number,194.0
Accidental apparent opioid toxicity deaths,Canada,2018,50 to 59 years,Male,Opioids,Deaths,Age group by sex,1,By year,Number,598.0
Accidental apparent opioid toxicity deaths,Canada,2018,60 years or more,Female,Opioids,Deaths,Age group by sex,1,By year,Number,84.0
Accidental apparent opioid toxicity deaths,Canada,2018,60 years or more,Male,Opioids,Deaths,Age group by sex,1,By year,Number,217.0
Accidental apparent opioid toxicity deaths,Canada,2019,0 to 19 years,Female,Opioids,Deaths,Age group by sex,1,By year,Number,24.0
Accidental apparent opioid toxicity deaths,Canada,2019,0 to 19 years,Male,Opioids,Deaths,Age group by sex,1,By year,Number,31.0
Accidental apparent opioid toxicity deaths,Canada,2019,20 to 29 years,Female,Opioids,Deaths,Age group by sex,1,By year,Number,155.0
Accidental apparent opioid toxicity deaths,Canada,2019,20 to 29 years,Male,Opioids,Deaths,Age group by sex,1,By year,Number,456.0
Accidental apparent opioid toxicity deaths,Canada,2019,30 to 39 years,Female,Opioids,Deaths,Age group by sex,1,By year,Number,234.0
Accidental apparent opioid toxicity deaths,Canada,2019,30 to 39 years,Male,Opioids,Deaths,Age group by sex,1,By year,Number,654.0
Accidental apparent opioid toxicity deaths,Canada,2019,40 to 49 years,Female,Opioids,Deaths,Age group by sex,1,By year,Number,159.0
Accidental apparent opioid toxicity deaths,Canada,2019,40 to 49 years,Male,Opioids,Deaths,Age group by sex,1,By year,Number,487.0
Accidental apparent opioid toxicity deaths,Canada,2019,50 to 59 years,Female,Opioids,Deaths,Age group by sex,1,By year,Number,212.0
Accidental apparent opioid toxicity deaths,Canada,2019,50 to 59 years,Male,Opioids,Deaths,Age group by sex,1,By year,Number,440.0
Accidental apparent opioid toxicity deaths,Canada,2019,60 years or more,Female,Opioids,Deaths,Age group by sex,1,By year,Number,62.0
Accidental apparent opioid toxicity deaths,Canada,2019,60 years or more,Male,Opioids,Deaths,Age group by sex,1,By year,Number,188.0
Accidental apparent opioid toxicity deaths,Canada,2020,0 to 19 years,Female,Opioids,Deaths,Age group by sex,1,By year,Number,33.0
Accidental apparent opioid toxicity deaths,Canada,2020,0 to 19 years,Male,Opioids,Deaths,Age group by sex,1,By year,Number,63.0
Accidental apparent opioid toxicity deaths,Canada,2020,20 to 29 years,Female,Opioids,Deaths,Age group by sex,1,By year,Number,254.0
Accidental apparent opioid toxicity deaths,Canada,2020,20 to 29 years,Male,Opioids,Deaths,Age group by sex,1,By year,Number,792.0
Accidental apparent opioid toxicity deaths,Canada,2020,30 to 39 years,Female,Opioids,Deaths,Age group by sex,1,By year,Number,369.0
Accidental apparent opioid toxicity deaths,Canada,2020,30 to 39 years,Male,Opioids,Deaths,Age group by sex,1,By year,Number,1196.0
Accidental apparent opioid toxicity deaths,Canada,2020,40 to 49 years,Female,Opioids,Deaths,Age group by sex,1,By year,Number,316.0
Accidental apparent opioid toxicity deaths,Canada,2020,40 to 49 years,Male,Opioids,Deaths,Age group by sex,1,By year,Number,979.0
Accidental apparent opioid toxicity deaths,Canada,2020,50 to 59 years,Female,Opioids,Deaths,Age group by sex,1,By year,Number,249.0
Accidental apparent opioid toxicity deaths,Canada,2020,50 to 59 years,Male,Opioids,Deaths,Age group by sex,1,By year,Number,918.0
Accidental apparent opioid toxicity deaths,Canada,2020,60 years or more,Female,Opioids,Deaths,Age group by sex,1,By year,Number,108.0
Accidental apparent opioid toxicity deaths,Canada,2020,60 years or more,Male,Opioids,Deaths,Age group by sex,1,By year,Number,373.0
Accidental apparent opioid toxicity deaths,Canada,2021,0 to 19 years,Female,Opioids,Deaths,Age group by sex,1,By year,Number,38.0
Accidental apparent opioid toxicity deaths,Canada,2021,0 to 19 years,Male,Opioids,Deaths,Age group by sex,1,By year,Number,65.0
Accidental apparent opioid toxicity deaths,Canada,2021,20 to 29 years,Female,Opioids,Deaths,Age group by sex,1,By year,Number,383.0
Accidental apparent opioid toxicity deaths,Canada,2021,20 to 29 years,Male,Opioids,Deaths,Age group by sex,1,By year,Number,839.0
Accidental apparent opioid toxicity deaths,Canada,2021,30 to 39 years,Female,Opioids,Deaths,Age group by sex,1,By year,Number,543.0
Accidental apparent opioid toxicity deaths,Canada,2021,30 to 39 years,Male,Opioids,Deaths,Age group by sex,1,By year,Number,1446.0
