Image,Category,Description,Sold as,Results,Fentanyl & Benzodiazepine Test,Notes,Location,Date
https://getyourdrugstested.com/wp-content/uploads/2024/06/G1104.jpg,Opioid,Brown Granules,Sold as: Down,"Erythritol:35-40%, Caffeine:30-35%, Fentanyl or analog:30-35%",Fentanyl: PositiveBenzodiazepine: Positive,Notes: This sample has the potential to cause a complex overdose due to the presence of fentanyl and benzodiazepines. Naloxone does not respond to benzodiazepines.,"Vancouver, BC",06/11/2024
https://getyourdrugstested.com/wp-content/uploads/2024/06/G0207.jpg,Opioid,Pink Pebble Code:  chunky1800monkey,Sold as: Heroin,"Caffeine:30-35%, Fentanyl:30-35%, Mannitol:20-25%, Bromazolam:10-15%",Fentanyl: PositiveBenzodiazepine: Positive,"Notes: Bromazolam is a derivative of benzodiazepine. It has similar sedative and anxiolytic effects to alprazolam and other benzodiazepines. Taking benzos and opioids together increases the risk of overdose and death. Benzodiazepines are not reversible with naloxone; however, it should still be administered in case it was used with opiates such as in down. In case of overdose, also call EMS and provide rescue breaths.","Vancouver, BC",06/02/2024
https://getyourdrugstested.com/wp-content/uploads/2024/05/G2603.jpg,Opioid,White Chunk,Sold as: Hydromorphone,"Microcrystalline Cellulose:60-65%, Caffeine:15-20%, Para-Fluorofentanyl Base:10-15%, N-Propionyl Para-Fluoronorfentanyl Base:10-15%",Fentanyl: PositiveBenzodiazepine: Negative,"Notes: This sample is risky due to the lack of hydromorphone and the presence of fentanyl in a significant amount. In addition, N-propionyl para-flouro norfentanyl base is an intermediate in fentanyl production. As a general rule most intermediates don't get you high and they are toxic to consume.","Vancouver, BC",05/26/2024
https://getyourdrugstested.com/wp-content/uploads/2024/05/G2013.jpg,Stimulant,White Granules,Sold as: Cocaine,,Fentanyl: PositiveBenzodiazepine: Negative,Notes: Unexpected fentanyl detected by test strip.,"Vancouver, BC",05/20/2024
https://getyourdrugstested.com/wp-content/uploads/2024/05/G1006.jpg,Unknown,Yellow Tablet Code:  nike123,Sold as: Unknown,"Microcrystalline Cellulose:60-65%, Protonitazene:20-25%, Uncertain Oil:5-10%, Uncertain Match:5-10%",Fentanyl: NegativeBenzodiazepine: Negative,"Notes: Imprint: OC / 40. Protonitazene is a synthetic opioid of the Nitazene (aka benzimidazole) family. It is estimated to be up to 5x more potent than fentanyl with similar side effects, including itching, nausea and potentially life-threatening respiratory depression.","Vancouver, BC",05/10/2024
https://getyourdrugstested.com/wp-content/uploads/2024/04/G2917.jpg,Psychedelic,Colourless Crystal,Sold as: Ketamine,,Fentanyl: NegativeBenzodiazepine: Negative,Notes:,"Vancouver, BC",04/29/2024
https://getyourdrugstested.com/wp-content/uploads/2024/04/G2216.jpg,Opioid,Dark Brown Granules,Sold as: Down,"Uncertain Carbohydrate:N/A, Caffeine:N/A, Xylazine:N/A",Fentanyl: PositiveBenzodiazepine: Negative,"Notes: This sample is risky as due to the unknown quantity of xylazine in this sample, as well as being fentanyl positive.","Vancouver, BC",04/22/2024
https://getyourdrugstested.com/wp-content/uploads/2024/04/G2004.jpg,Opioid,White Pressed Pill Code:  thirteen MJ 2,Sold as: Acetaminophen and Oxycodone,"Dicalcium Phosphate:N/A, Uncertain Mineral:N/A, Uncertain Carbohydrate:N/A, Uncertain Oil:N/A, Uncertain Match:N/A",Fentanyl: PositiveBenzodiazepine: Negative,"Notes: Imprint: TEC. Percentages unavailable due to the uncertain nature of most of the components. Oxycodone is typically present in such a small amount in pills like these that it evades the detection limit of our machine, which is about 5%. What we would expect to see in a “Percocet” is pill fillers and pill binders along with acetaminophen as one of the primary ingredients. Although we cannot confirm/deny the presence of oxycodone, we unfortunately did not detect any acetaminophen in your sample which is unexpected for a Percocet. The presence of fentanyl makes it unlikely that oxycodone is present in this sample.","Vancouver, BC",04/20/2024
https://getyourdrugstested.com/wp-content/uploads/2024/04/G2003.jpg,Opioid,White Pressed Pill Code:  thirteen MJ 1,Sold as: Acetaminophen and Oxycodone,"Dicalcium Phosphate:N/A, Uncertain Carbohydrate:N/A, Uncertain Oil:N/A, Uncertain Mineral:N/A",Fentanyl: PositiveBenzodiazepine: Negative,"Notes: Imprint: TEC. Percentages unavailable due to the uncertain nature of most of the components. Oxycodone is typically present in such a small amount in pills like these that it evades the detection limit of our machine, which is about 5%. What we would expect to see in a “Percocet” is pill fillers and pill binders along with acetaminophen as one of the primary ingredients. Although we cannot confirm/deny the presence of oxycodone, we unfortunately did not detect any acetaminophen in your sample which is unexpected for a Percocet. The presence of fentanyl makes it unlikely that oxycodone is present in this sample.","Vancouver, BC",04/20/2024
https://getyourdrugstested.com/wp-content/uploads/2024/04/G1223.jpg,Opioid,Blue Powder,Sold as: Down,"Fentanyl:50-55%, Caffeine:35-40%, Bromazolam:10-15%, Uncertain Carbohydrate:5-10%",Fentanyl: PositiveBenzodiazepine: Positive,Notes:,"Vancouver, BC",04/12/2024
https://getyourdrugstested.com/wp-content/uploads/2024/04/G1222.jpg,Opioid,Orange Powder,Sold as: Down,"Fentanyl:50-55%, Caffeine:20-25%, Bromazolam:15-20%, Uncertain Carbohydrate:5-10%",Fentanyl: PositiveBenzodiazepine: Positive,Notes:,"Vancouver, BC",04/12/2024
https://getyourdrugstested.com/wp-content/uploads/2024/04/G0724.jpg,Opioid,Brown Pebble,Sold as: Down,"Ortho-Methylfentanyl:80-85%, Xylazine:5-10%, Deschloroetizolam:5-10%, Uncertain Oil:5-10%",Fentanyl: PositiveBenzodiazepine: Negative,Notes:,"Vancouver, BC",04/07/2024
https://getyourdrugstested.com/wp-content/uploads/2024/04/G0714.jpg,Opioid,Dark Green Pressed Pill,Sold as: Oxycodone,"Microcrystalline Cellulose:50-55%, Acetaminophen:25-30%, Calcium Stearate:15-20%",Fentanyl: PositiveBenzodiazepine: Positive,"Notes: Imprint: 80. This sample is risky as it is being sold as oxycodone, there is no oxycodone present but both fentanyl and benzodiazepines are present. This sample presents a risk of a complex overdose that won't fully respond to naloxone.","Vancouver, BC",04/07/2024
https://getyourdrugstested.com/wp-content/uploads/2024/04/M0413.jpg,Unknown,Yellow Chunk Code:  Calimar26,Sold as: Unknown,"Erythritol:50-55%, Xylazine:20-25%, Caffeine:15-20%, Fentanyl or analog:5-10%",Fentanyl: PositiveBenzodiazepine: Positive,Notes: Xylazine is a veterinary sedative with depressant and cardiovascular effects. It is not formulated for human use and when used as intended requires a reversal agent. Combining this with other depressants can cause complex overdose situations as xylazine does not respond to naloxone.,"Edmonton, AB",04/04/2024
https://getyourdrugstested.com/wp-content/uploads/2021/02/GYDT-Smile-Element.png,Stimulant,White Crystal Code:  2524,Sold as: Methamphetamine,"Methamphetamine:70-75%, Uncertain Oil:10-15%, Caffeine:5-10%, Uncertain Carbohydrate:5-10%",Fentanyl: PositiveBenzodiazepine: Positive,Notes: This sample poses a risk due to the mixture of stimulants and depressants and could cause unexpected effects or an overdose if not expecting depressants.,"Anonymous, BC",03/29/2024
https://getyourdrugstested.com/wp-content/uploads/2024/03/G2434.jpg,Polysubstance,Pink Powder Code:  honda,Sold as: Tucci,"MDMA:N/A, Mannitol:N/A, Ketamine:N/A, Caffeine:N/A, Uncertain Match:N/A",Fentanyl: NegativeBenzodiazepine: Positive,"Notes: The uncertain match in this sample shares similarities with multiple substances including but not limited to lidocaine, MDA and multiple benzodiazepines; however, the signal was too small to confirm which one. Due to the complex mixture of this substance, percentages could not be assigned. This sample contains a polysubstance mixture that is not recommended to combine together as it could put someone at serious risk of harm to their health including sedation, seizure, heart attack and complex overdose. Please use extreme caution when using this substance and utilize harm reduction practices includ. not using alone.","Vancouver, BC",03/24/2024
https://getyourdrugstested.com/wp-content/uploads/2021/02/GYDT-Smile-Element.png,Opioid,Yellow Paste,Sold as: Down,"DMT:45-50%, Fentanyl or analog:20-25%, Caffeine:15-20%, Erythritol:10-15%",Fentanyl: PositiveBenzodiazepine: Positive,Notes: This sample is risky as it is down and DMT. DMT is a fast acting hallucinogen which could cause an unexpected reaction in an unaware or inexperienced user.,"Vancouver, BC",03/18/2024
https://getyourdrugstested.com/wp-content/uploads/2024/03/G1801.jpg,Opioid,Black Organic Code:  potato,Sold as: Heroin,"Opium:N/A, Vitamin C:N/A, Uncertain Carbohydrate:N/A, Uncertain Match:N/A",Fentanyl: NegativeBenzodiazepine: Negative,"Notes: The uncertain match in this sample shares similarities with a number of different nitazenes. Nitazenes are potent synthetic opioids from a drug class known as benzimidazole-opioids.Nitazenes can range in potency with some being similar in potency to 10+ times the potency of fentanyl, which could present a significant risk of overdose and/or death and should be consumed with extreme caution. Start with a small test dose and try not to use it alone, if possible. Naloxone can be effective at reversing nitazene overdoses, however multiple doses may be required.","Vancouver, BC",03/18/2024
https://getyourdrugstested.com/wp-content/uploads/2024/03/G1736.jpg,Opioid,Light Blue Pressed Pill,Sold as: Oxycodone,"Glucose:65-70%, Uncertain Match:20-25%, Uncertain Oil:10-15%",Fentanyl: PositiveBenzodiazepine: Negative,Notes: Imprint: M / 30. The uncertain match in this sample shares similarities to various nitazenes but the exact one cannot be confirmed. The combination of nitazenes and fentanyl could cause a complex overdose.,"Vancouver, BC",03/17/2024
https://getyourdrugstested.com/wp-content/uploads/2024/03/G1003.jpg,Stimulant,White Pebble,Sold as: Cocaine Base,,Fentanyl: PositiveBenzodiazepine: Negative,Notes: This sample is risky because it is not crack cocaine and it is fentanyl positive. This could cause an opioid overdose in an unsuspecting consumer.,"Vancouver, BC",03/10/2024
https://getyourdrugstested.com/wp-content/uploads/2024/03/G0918.jpg,Psychedelic,White Powder,Sold as: Ketamine,,Fentanyl: NegativeBenzodiazepine: Positive,Notes: This sample has similarities to a number of benzodiazepines and is likely a benzodiazepine not in our libraries. This sample is risky because the dose point for benzodiazepines is very much smaller than for ketamine. The risk of a benzodiazepine overdose is very high for this sample.,"Vancouver, BC",03/09/2024
https://getyourdrugstested.com/wp-content/uploads/2024/03/G0318.jpg,Stimulant,White Pebble,Sold as: Cocaine Base,,Fentanyl: NegativeBenzodiazepine: Positive,Notes: This sample is risky because it has a stimulant and a depressant in it. This sample could produce unexpected/unpleasant effects for an unsuspecting consumer.,"Vancouver, BC",03/03/2024
https://getyourdrugstested.com/wp-content/uploads/2024/02/G1336.jpg,Stimulant,White Pebble,Sold as: Cocaine Base,,Fentanyl: PositiveBenzodiazepine: Negative,Notes:,"Vancouver, BC",02/13/2024
https://getyourdrugstested.com/wp-content/uploads/2024/01/G1520.jpg,Depressant,Brown Liquid,Sold as: GHB,,Fentanyl: Negative,"Notes: Aniline is a chemical solvent that is toxic if consumed by humans. It is used in the production in rubber accelorators, explosives, fungicides and petroleum refining.","Vancouver, BC",01/15/2024
https://getyourdrugstested.com/wp-content/uploads/2023/12/G2019-1.jpg,Opioid,Dark Green Granules,Sold as: Oxycodone,"Microcrystalline Cellulose:65-70%, AMB-FUBINACA:10-15%, Uncertain Match:10-15%, Uncertain Oil:5-10%",Fentanyl: NegativeBenzodiazepine: Negative,Notes: AMB-FUBINACA is a synthetic cannabinoid. Synthetic cannabinoids can produce a wide variety of unpredictable effects and can require medical or psychiatric intervention.,"Vancouver, BC",12/20/2023
https://getyourdrugstested.com/wp-content/uploads/2023/12/G0227.jpg,Opioid,Purple Granules Code:  sky purple,Sold as: Down,"Caffeine:35-40%, Fentanyl:30-35%, Xylazine:15-20%, Xylitol:15-20%",Fentanyl: PositiveBenzodiazepine: Positive,"Notes: This sample presents the risk of a complex overdose that won't fully respond to Naloxone due to the high fentanyl content, the presence of xylazine, and the presence of a benzodiazepine.","Vancouver, BC",12/02/2023
https://getyourdrugstested.com/wp-content/uploads/2023/12/G0225.jpg,Opioid,Blue Granules Code:  sky blue,Sold as: Down,"Caffeine:45-50%, Fentanyl:35-40%, Xylazine:15-20%",Fentanyl: PositiveBenzodiazepine: Positive,"Notes: This sample presents the risk of a complex overdose that won't fully respond to Naloxone due to the high fentanyl content, the presence of xylazine, and the presence of a benzodiazepine.","Vancouver, BC",12/02/2023
https://getyourdrugstested.com/wp-content/uploads/2023/11/G2731.jpg,Psychedelic,White Powder,Sold as: DMT,"AMB-FUBINACA:50-55%, Caffeine:45-50%",Fentanyl: PositiveBenzodiazepine: Negative,Notes:,"Vancouver, BC",11/27/2023
https://getyourdrugstested.com/wp-content/uploads/2023/11/G2115.jpg,Opioid,Purple Granules,Sold as: Down,"Caffeine:45-50%, Fentanyl:20-25%, Xylitol:10-15%, Bromazolam:5-10%, Xylazine:5-10%",Fentanyl: PositiveBenzodiazepine: Positive,Notes:,"Vancouver, BC",11/21/2023
https://getyourdrugstested.com/wp-content/uploads/2023/11/G1553.jpg,Unknown,Dark Brown Chunk,Sold as: Unknown,"Caffeine:40-45%, Erythritol:15-20%, Fentanyl:10-15%, Para-Fluorofentanyl:10-15%, Xylazine:5-10%",Fentanyl: PositiveBenzodiazepine: Positive,Notes:,"Vancouver, BC",11/15/2023
https://getyourdrugstested.com/wp-content/uploads/2023/10/G3005.jpg,Stimulant,Light Grey Granules,Sold as: Cocaine Base,"Ketamine Base:60-65%, Cocaine Base:35-40%",Fentanyl: Negative,Notes:,"Vancouver, BC",10/30/2023
